indicator_code,indicator_label,year,trend_base,trend_ci_lower,trend_ci_upper,scenario_optimistic,scenario_pessimistic,event_augmented
ACC_OWNERSHIP,Account Ownership (Access),2025,50.59367418725509,47.241183711832626,53.94616466267755,50.53893725928819,49.86180486520139,52.73105853294007
ACC_OWNERSHIP,Account Ownership (Access),2026,51.7502435122693,48.21404595344787,55.28644107109073,51.98464891555595,50.67140339271133,54.24400761109605
ACC_OWNERSHIP,Account Ownership (Access),2027,52.82642848541777,49.11401143148987,56.53884553934567,53.32988013199154,51.42473287391526,54.996995375161944
USG_DIGITAL_PAYMENT,Digital Payment Usage,2025,37.30094413248871,,,37.87618016561088,36.6106608927421,
USG_DIGITAL_PAYMENT,Digital Payment Usage,2026,39.27199287684151,,,40.33999109605189,37.990395013789055,
USG_DIGITAL_PAYMENT,Digital Payment Usage,2027,40.975805830687285,,,42.469757288359105,39.1830640814811,
